pair,var1,var2,mi,mi_pvalue,ji,ji_pvalue,chi2,chi2_pvalue,mi_significant,ji_significant,chi2_significant
V0-V1,0,1,0.05409338305556073,0.0008999100089991,0.0,1.0,7.733075207887695,0.005421832856090312,True,False,True
V0-V2,0,2,0.3770318235987946,9.999000099990002e-05,0.6410256410256411,9.999000099990002e-05,94.17360643056851,2.8902903413504376e-22,True,True,True
V0-V3,0,3,0.7098907780024962,9.999000099990002e-05,0.9259259259259259,9.999000099990002e-05,174.42465135385328,7.995565445499009e-40,True,True,True
V0-V4,0,4,0.05674106401270569,0.0006999300069993001,0.0,1.0,8.195269276662174,0.00419997601142093,True,False,True
V0-V5,0,5,0.1912924154635879,9.999000099990002e-05,0.0078125,1.0,38.46079591521443,5.586469138637284e-10,True,False,True
V0-V6,0,6,0.7370862500524509,9.999000099990002e-05,0.9444444444444444,9.999000099990002e-05,179.2130150730514,7.198683677082693e-41,True,True,True
V0-V7,0,7,0.5573839372897738,9.999000099990002e-05,0.819672131147541,9.999000099990002e-05,144.02110599166684,3.51541279574674e-33,True,True,True
V0-V8,0,8,0.43424968973657674,9.999000099990002e-05,0.6891891891891891,9.999000099990002e-05,108.03765213457068,2.6372032389138333e-25,True,True,True
V0-V9,0,9,0.4829697537894853,9.999000099990002e-05,0.7619047619047619,9.999000099990002e-05,127.59109517685079,1.37922792509129e-29,True,True,True
V0-V10,0,10,0.22935201201220495,9.999000099990002e-05,0.5052631578947369,9.999000099990002e-05,56.0480497569,7.072132401978297e-14,True,True,True
V0-V11,0,11,0.045799415173810795,0.0017998200179982,0.20967741935483872,0.0007999200079992001,12.45571141403022,0.0004167156275392378,True,True,True
V0-V12,0,12,0.3267324856681074,9.999000099990002e-05,0.5652173913043478,9.999000099990002e-05,75.2242872267853,4.201666952599069e-18,True,True,True
V0-V13,0,13,0.06208245031413148,9.999000099990002e-05,0.05357142857142857,1.0,13.755925153581899,0.0002081631711810279,True,False,True
V0-V14,0,14,0.03424575014871773,0.0037996200379962005,0.034482758620689655,0.9997000299970003,6.7403479736406124,0.009425623808558667,True,False,True
V1-V2,1,2,0.09337832441352721,9.999000099990002e-05,0.24675324675324675,9.999000099990002e-05,23.297258089368256,1.3879773183102472e-06,True,True,True
V1-V3,1,3,0.049391772837681085,0.000999900009999,0.0,1.0,6.866493960765661,0.008782679206825381,True,False,True
V1-V4,1,4,0.3144167099635399,9.999000099990002e-05,0.7307692307692307,9.999000099990002e-05,127.30365111154586,1.5941753144645678e-29,True,True,True
